sku,product_name,product_name_ar,price,processed_product_name,processed_product_name_ar,combined_master_name,master_dosage,master_form
1854,HAEMOJET 50 MG/5ML SYRUP 100 ML,هيموجيت 50 مجم / 5 مل شراب 100 مل,37.5,haemojet 50 mg 5ml syrup 100 ml,هيموجيت 50 mg 5 ml syrup 100 ml,هيموجيت 50 مجم / 5 مل شراب 100 مل HAEMOJET 50 MG/5ML SYRUP 100 ML,50MG,SYRUP
1884,LELIPEL 10 MG 20 TAB,ليليبيل 10 مجم 20 قرص,120.0,lelipel 10 mg 20 tablet,ليليبيل 10 mg 20 tablet,ليليبيل 10 مجم 20 قرص LELIPEL 10 MG 20 TAB,10MG,
2575,MODURETIC 30 TAB,موديوريتك 5/50 مجم 30 قرص,15.0,moduretic 30 tablet,موديوريتك 550 mg 30 tablet,موديوريتك 5/50 مجم 30 قرص MODURETIC 30 TAB,,
3544,AMILO 5 MG 30 TAB,اميلو 5 مجم 30 قرص,54.0,amilo 5 mg 30 tablet,اميلو 5 mg 30 tablet,اميلو 5 مجم 30 قرص AMILO 5 MG 30 TAB,5MG,
2696,ATORSTAT 40 MG 14 TAB,اتورستات 40 مجم 14 قرص,76.0,atorstat 40 mg 14 tablet,اتورستات 40 mg 14 tablet,اتورستات 40 مجم 14 قرص ATORSTAT 40 MG 14 TAB,40MG,
3957,KERELLA OINT. 15 GM,كيريلا مرهم 15 جم,16.0,kerella oint 15 gm,كيريلا ointment 15 g,كيريلا مرهم 15 جم KERELLA OINT. 15 GM,15G,
4115,CHROMIUM 20 CAP,كروميوم - ميباكو 20 كبسول,40.0,chromium 20 capsule,كروميوم ميباكو 20 كبسول,كروميوم - ميباكو 20 كبسول CHROMIUM 20 CAP,,
4139,ALBENDAZOLE 400 MG 6 TAB,البندازول 400 مجم 6 قرص,46.0,albendazole 400 mg 6 tablet,البندازول 400 mg 6 tablet,البندازول 400 مجم 6 قرص ALBENDAZOLE 400 MG 6 TAB,400MG,
5159,NAVOPROXIN 50 MG 5 SUPP.,نافوبروكسين 50 مجم 5 اقماع,10.0,navoproxin 50 mg 5 supp,نافوبروكسين 50 mg 5 اقماع,نافوبروكسين 50 مجم 5 اقماع NAVOPROXIN 50 MG 5 SUPP.,50MG,
4957,TOPMODE 50 MG 30 CAP,توبمود 50 مجم 30 كبسولة,17.5,topmode 50 mg 30 capsule,توبمود 50 mg 30 capsule,توبمود 50 مجم 30 كبسولة TOPMODE 50 MG 30 CAP,50MG,
1324,DICLAC 150 MG 20 TAB,ديكلاك 150 مجم 20 قرص,132.0,diclac 150 mg 20 tablet,ديكلاك 150 mg 20 tablet,ديكلاك 150 مجم 20 قرص DICLAC 150 MG 20 TAB,150MG,
1434,ULTRACAINE 5%GEL 30 GM,التراكايين 5% جيل 30 جم,31.0,ultracaine 5% gel 30 gm,التراكايين 5% جيل 30 g,التراكايين 5% جيل 30 جم ULTRACAINE 5%GEL 30 GM,5%,GEL
690,COLOVERIN A 30 TAB,كولوفيرين أ 30 قرص,99.0,coloverin a 30 tablet,كولوفيرين أ 30 tablet,كولوفيرين أ 30 قرص COLOVERIN A 30 TAB,,
1111,FEROGLOBIN SYRUP 120 ML,فيروجلوبين شراب 120 مل,65.0,feroglobin syrup 120 ml,فيروجلوبين syrup 120 ml,فيروجلوبين شراب 120 مل FEROGLOBIN SYRUP 120 ML,120ML,SYRUP
4,MILGA 40 TAB,ميلجا 40 قرص,108.0,milga 40 tablet,ميلجا 40 tablet,ميلجا 40 قرص MILGA 40 TAB,,
5,PLAVIX 75 MG 28 TAB,بلافيكس 75 مجم 28 قرص,311.0,plavix 75 mg 28 tablet,بلافيكس 75 mg 28 tablet,بلافيكس 75 مجم 28 قرص PLAVIX 75 MG 28 TAB,75MG,
10,PANADOL EXTRA 24 TAB,بانادول اكسترا 24 قرص,54.0,panadol extra 24 tablet,بانادول اكسترا 24 tablet,بانادول اكسترا 24 قرص PANADOL EXTRA 24 TAB,,
15,FEROGLOBIN 30 CAP,فيروجلوبين 30 كبسول,150.0,feroglobin 30 capsule,فيروجلوبين 30 كبسول,فيروجلوبين 30 كبسول FEROGLOBIN 30 CAP,,
20,CONVENTIN 400 MG 30 CAP,كونفنتين 400 مجم 30 كبسول,150.0,conventin 400 mg 30 capsule,كونفنتين 400 mg 30 كبسول,كونفنتين 400 مجم 30 كبسول CONVENTIN 400 MG 30 CAP,400MG,
22,DEPOVIT B12 1000 MCG/ML I.M 5 AMP.,ديبوفيت بي12 - 1000 مكجم / مل 5 امبول,85.0,depovit b12 1000 mcg ml im 5 ampoule,ديبوفيت بي12 1000 مكجم ml 5 ampoule,ديبوفيت بي12 - 1000 مكجم / مل 5 امبول DEPOVIT B12 1000 MCG/ML I.M 5 AMP.,1000MCG,
26,EREC 100 MG 12 TAB,اريك 100 مجم 12 قرص,100.5,erec 100 mg 12 tablet,اريك 100 mg 12 tablet,اريك 100 مجم 12 قرص EREC 100 MG 12 TAB,100MG,
28,BI-ALCOFAN 150 MG 30 TAB,باي-الكوفان 150 مجم 30 قرص,81.0,bialcofan 150 mg 30 tablet,بايالكوفان 150 mg 30 tablet,باي-الكوفان 150 مجم 30 قرص BI-ALCOFAN 150 MG 30 TAB,150MG,
30,CATAFLAM 50 MG 20 TAB,كتافلام 50 مجم 20 قرص,86.0,cataflam 50 mg 20 tablet,كتافلام 50 mg 20 tablet,كتافلام 50 مجم 20 قرص CATAFLAM 50 MG 20 TAB,50MG,
34,OMEGA-3 PLUS 30 CAP,اوميجا-3 بلس 30 كبسولة,135.0,omega3 plus 30 capsule,اوميجا3 بلس 30 capsule,اوميجا-3 بلس 30 كبسولة OMEGA-3 PLUS 30 CAP,,
36,CONVENTIN 300 MG 30 CAP,كونفنتين 300 مجم 30 كبسولة,114.0,conventin 300 mg 30 capsule,كونفنتين 300 mg 30 capsule,كونفنتين 300 مجم 30 كبسولة CONVENTIN 300 MG 30 CAP,300MG,
46,CATAFAST 50 MG 9 SACHETS,كتافاست 50 مجم 9 كيس,72.0,catafast 50 mg 9 sachets,كتافاست 50 mg 9 كيس,كتافاست 50 مجم 9 كيس CATAFAST 50 MG 9 SACHETS,50MG,
48,AMBEZIM-G 30 TAB,امبيزيم-جى 30 قرص,102.0,ambezim g 30 tablet,امبيزيمجى 30 tablet,امبيزيم-جى 30 قرص AMBEZIM-G 30 TAB,,
53,XITHRONE 500 MG 5 TAB,زيثرون 500 مجم 5 قرص,86.0,xithrone 500 mg 5 tablet,زيثرون 500 mg 5 tablet,زيثرون 500 مجم 5 قرص XITHRONE 500 MG 5 TAB,500MG,
58,DEXAMETHASONE-AMRIYA 8 MG/2 ML 3 AMP.,ديكساميثازون-العامرية 8 مجم / 2 مل 3 امبول,36.0,dexamethasoneamriya 8 mg 2 ml 3 ampoule,ديكساميثازونالعامرية 8 mg 2 ml 3 ampoule,ديكساميثازون-العامرية 8 مجم / 2 مل 3 امبول DEXAMETHASONE-AMRIYA 8 MG/2 ML 3 AMP.,8MG,
65,BIVATRACIN SPRAY 150 ML,بيفاتراسين سبراى 150جم,83.0,bivatracin spray 150 ml,بيفاتراسين سبراى 150جم,بيفاتراسين سبراى 150جم BIVATRACIN SPRAY 150 ML,150ML,
71,PRAVOTIN 100 MG 14 SACHETS,برافوتين 100 مجم 14 كيس,150.0,pravotin 100 mg 14 sachets,برافوتين 100 mg 14 كيس,برافوتين 100 مجم 14 كيس PRAVOTIN 100 MG 14 SACHETS,100MG,
73,TAVANIC 500 MG 5 TAB,تافانيك 500 محم 5 قرص,134.0,tavanic 500 mg 5 tablet,تافانيك 500 محم 5 tablet,تافانيك 500 محم 5 قرص TAVANIC 500 MG 5 TAB,500MG,
87,DOROFEN 30 CAP,دوروفين 30 كبسولة,153.0,dorofen 30 capsule,دوروفين 30 capsule,دوروفين 30 كبسولة DOROFEN 30 CAP,,
90,DEXAMETHASONE-MUP 8 MG/2 ML 5 AMP.,ديكساميثازون-المهن 8 مجم / 2 مل 5 امبول,65.0,dexamethasonemup 8 mg 2 ml 5 ampoule,ديكساميثازونالمهن 8 mg 2 ml 5 ampoule,ديكساميثازون-المهن 8 مجم / 2 مل 5 امبول DEXAMETHASONE-MUP 8 MG/2 ML 5 AMP.,8MG,
94,FAWAR FRUIT 6 SACHET,فوار فروت 6 كيس,24.0,fawar fruit 6 sachet,فوار فروت 6 كيس,فوار فروت 6 كيس FAWAR FRUIT 6 SACHET,,
96,GAPTIN 400 MG 30 CAP,جابتن 400 مجم 30 كبسولة,156.0,gaptin 400 mg 30 capsule,جابتن 400 mg 30 capsule,جابتن 400 مجم 30 كبسولة GAPTIN 400 MG 30 CAP,400MG,
101,OPLEX-N SYRUP 125 ML,اوبلكس- ان شراب 125 مل,31.0,oplexn syrup 125 ml,اوبلكس ان syrup 125 ml,اوبلكس- ان شراب 125 مل OPLEX-N SYRUP 125 ML,125ML,SYRUP
105,VIAGRA 100 MG 4 TAB,فياجرا 100 مجم 4 اقراص,144.0,viagra 100 mg 4 tablet,فياجرا 100 mg 4 tablet,فياجرا 100 مجم 4 اقراص VIAGRA 100 MG 4 TAB,100MG,
106,SPASMODIGESTIN 30 TAB,سبازمو ديجستين 30 قرص,78.0,spasmodigestin 30 tablet,سبازمو ديجستين 30 tablet,سبازمو ديجستين 30 قرص SPASMODIGESTIN 30 TAB,,
111,DIMRA 20 TAB,ديمرا 20 قرص,70.0,dimra 20 tablet,ديمرا 20 tablet,ديمرا 20 قرص DIMRA 20 TAB,,
112,PANTOLOC 40 MG 14 TAB,بانتولوك 40 مجم 14 قرص,68.5,pantoloc 40 mg 14 tablet,بانتولوك 40 mg 14 tablet,بانتولوك 40 مجم 14 قرص PANTOLOC 40 MG 14 TAB,40MG,
1051,ONDALENZ 4 MG 5 O.D.F,اوندالينز 4 مجم 5 فيلم سريع الذوبان بالفم,160.0,ondalenz 4 mg 5 odf,اوندالينز 4 mg 5 فيلم سريع الذوبان بالفم,اوندالينز 4 مجم 5 فيلم سريع الذوبان بالفم ONDALENZ 4 MG 5 O.D.F,4MG,
121,COLOVERIN-D 30 TAB,كولوفيرين دى 30 قرص,105.0,coloverind 30 tablet,كولوفيرين دى 30 tablet,كولوفيرين دى 30 قرص COLOVERIN-D 30 TAB,,
1059,SELGON 20 MG 20 TAB,سيلجون 20 مجم 20 قرص,18.0,selgon 20 mg 20 tablet,سيلجون 20 mg 20 tablet,سيلجون 20 مجم 20 قرص SELGON 20 MG 20 TAB,20MG,
130,VIDROP 2800 I.U./ML ORAL DROPS 15 ML,فيدروب 2800 وحدة دولية/مل نقط بالفم 15 مل,26.0,vidrop 2800 iu ml oral drops 15 ml,فيدروب 2800 iu ml نقط بالفم 15 ml,فيدروب 2800 وحدة دولية/مل نقط بالفم 15 مل VIDROP 2800 I.U./ML ORAL DROPS 15 ML,15ML,DROPS
132,RECOXIBRIGHT 90 MG 30 TAB,ريكوكسيبرايت 90 مجم 30 قرص,297.0,recoxibright 90 mg 30 tablet,ريكوكسيبرايت 90 mg 30 tablet,ريكوكسيبرايت 90 مجم 30 قرص RECOXIBRIGHT 90 MG 30 TAB,90MG,
1064,THIOTACID COMPOUND 300 MG 30 CAP,ثيوتاسيد مركب 300مجم 30 كبسول,168.0,thiotacid compound 300 mg 30 capsule,ثيوتاسيد مركب 300مجم 30 كبسول,ثيوتاسيد مركب 300مجم 30 كبسول THIOTACID COMPOUND 300 MG 30 CAP,300MG,
137,MAXILASE SYRUP 100 ML,ماكسيلاز شراب 100 مل,57.0,maxilase syrup 100 ml,ماكسيلاز syrup 100 ml,ماكسيلاز شراب 100 مل MAXILASE SYRUP 100 ML,100ML,SYRUP
143,ESMORAP 40 MG 14 CAP,ازموراب 40 مجم 14 كبسول,138.0,esmorap 40 mg 14 capsule,ازموراب 40 mg 14 كبسول,ازموراب 40 مجم 14 كبسول ESMORAP 40 MG 14 CAP,40MG,
146,ELIQUIS 5 MG 20 TAB,اليكويس 5 مجم 20 قرص,406.0,eliquis 5 mg 20 tablet,اليكويس 5 mg 20 tablet,اليكويس 5 مجم 20 قرص ELIQUIS 5 MG 20 TAB,5MG,
147,FERROTRON 30 CAP,فيروترون 30 كبسول,99.0,ferrotron 30 capsule,فيروترون 30 كبسول,فيروترون 30 كبسول FERROTRON 30 CAP,,
1084,LASIX 20 MG/2 ML 3 AMP.,لاسيكس 2مل 3 امبول,24.0,lasix 20 mg 2 ml 3 ampoule,لاسيكس 2مل 3 ampoule,لاسيكس 2مل 3 امبول LASIX 20 MG/2 ML 3 AMP.,20MG,
154,ZITHROKAN 500 MG 3 CAP,زيثروكان 500 مجم 3 كبسولة,77.0,zithrokan 500 mg 3 capsule,زيثروكان 500 mg 3 capsule,زيثروكان 500 مجم 3 كبسولة ZITHROKAN 500 MG 3 CAP,500MG,
160,BRONCHICUM ELIXIR 100 ML,برونشيكم اليكسر شراب 100 مل,49.0,bronchicum elixir 100 ml,برونشيكم اليكسر syrup 100 ml,برونشيكم اليكسر شراب 100 مل BRONCHICUM ELIXIR 100 ML,100ML,
164,OTRIVIN ADULT NASAL DROPS 15 ML,اوتريفين 0.1 % نقط انف للكبار 15 مل,16.0,otrivin adult nasal drops 15 ml,اوتريفين 01 % نقط انف للكبار 15 ml,اوتريفين 0.1 % نقط انف للكبار 15 مل OTRIVIN ADULT NASAL DROPS 15 ML,0.1%,DROPS
166,PANADOL COLD&FLU DAY 24 TAB,بانادول كولد آند فلو داي 24 قرص,76.0,panadol coldflu day 24 tablet,بانادول كولد آند فلو داي 24 tablet,بانادول كولد آند فلو داي 24 قرص PANADOL COLD&FLU DAY 24 TAB,,
169,ALL-VENT SYRUP 125 ML,اولفنت شراب 125 ملل,34.0,allvent syrup 125 ml,اولفنت syrup 125 ملل,اولفنت شراب 125 ملل ALL-VENT SYRUP 125 ML,125ML,SYRUP
178,CLARITINE 10 MG 20 TAB,كلاريتين 10 مجم 20 قرص,110.0,claritine 10 mg 20 tablet,كلاريتين 10 mg 20 tablet,كلاريتين 10 مجم 20 قرص CLARITINE 10 MG 20 TAB,10MG,
184,DOLIPRANE 1000 MG 15 TAB,دوليبران 1000 مجم 15 قرص,48.0,doliprane 1000 mg 15 tablet,دوليبران 1000 mg 15 tablet,دوليبران 1000 مجم 15 قرص DOLIPRANE 1000 MG 15 TAB,1000MG,
198,VENTAL COMPOSITUM SPRAY 200 DOSE,فنتال مركب بخاخ عن طرق الفم 200 جرعة,56.0,vental compositum spray 200 dose,فنتال مركب بخاخ عن طرق الفم 200 جرعة,فنتال مركب بخاخ عن طرق الفم 200 جرعة VENTAL COMPOSITUM SPRAY 200 DOSE,,
202,GAPTIN 300 MG 30 CAP,جابتن 300 مجم 30 كبسولة,126.0,gaptin 300 mg 30 capsule,جابتن 300 mg 30 capsule,جابتن 300 مجم 30 كبسولة GAPTIN 300 MG 30 CAP,300MG,
229,FLAGYL 500 MG 20 TAB,فلاجيل 500 مجم 20 قرص,23.0,flagyl 500 mg 20 tablet,فلاجيل 500 mg 20 tablet,فلاجيل 500 مجم 20 قرص FLAGYL 500 MG 20 TAB,500MG,
237,TELFAST 30 MG/5 ML SUSP. 100 ML,تلفاست 30مجم/5مل شراب معلق 100 مل,50.0,telfast 30 mg 5 ml suspension 100 ml,تلفاست 30مجم5مل syrup suspension 100 ml,تلفاست 30مجم/5مل شراب معلق 100 مل TELFAST 30 MG/5 ML SUSP. 100 ML,30MG,
249,CETAL 250 MG SUSP. 60 ML,سيتال 250مجم/5مل شراب معلق 60 مل,31.0,cetal 250 mg suspension 60 ml,سيتال 250مجم5مل syrup suspension 60 ml,سيتال 250مجم/5مل شراب معلق 60 مل CETAL 250 MG SUSP. 60 ML,250MG,
250,EUCARBON 30 TAB,اوكاربون 30 قرص,84.0,eucarbon 30 tablet,اوكاربون 30 tablet,اوكاربون 30 قرص EUCARBON 30 TAB,,
252,AMARYL 3 MG 30 TAB,اماريل 3 مجم 30 قرص,61.5,amaryl 3 mg 30 tablet,اماريل 3 mg 30 tablet,اماريل 3 مجم 30 قرص AMARYL 3 MG 30 TAB,3MG,
277,HYFRESH 0.2%EYE DROP 10 ML,هاي فريش 0.2 % قطرة عين 10 مل,75.0,hyfresh 02%eye drops 10 ml,هاي فريش 02 % drops عين 10 ml,هاي فريش 0.2 % قطرة عين 10 مل HYFRESH 0.2%EYE DROP 10 ML,0.2%,
313,TELFAST 120 MG 20 TAB,تلفاست 120 مجم 20 قرص,76.0,telfast 120 mg 20 tablet,تلفاست 120 mg 20 tablet,تلفاست 120 مجم 20 قرص TELFAST 120 MG 20 TAB,120MG,
319,ATOR 20 MG 10 TAB,اتور 20 مجم 10 قرص,59.0,ator 20 mg 10 tablet,اتور 20 mg 10 tablet,اتور 20 مجم 10 قرص ATOR 20 MG 10 TAB,20MG,
320,MUCOSTA 100 MG 20 TAB,ميوكوستا 100 مجم 20 قرص,79.0,mucosta 100 mg 20 tablet,ميوكوستا 100 mg 20 tablet,ميوكوستا 100 مجم 20 قرص MUCOSTA 100 MG 20 TAB,100MG,
323,CATAFLAM 75 MG/3 ML 6 AMP.,كتافلام 75 مجم / 3 مل 6 امبول,83.0,cataflam 75 mg 3 ml 6 ampoule,كتافلام 75 mg 3 ml 6 ampoule,كتافلام 75 مجم / 3 مل 6 امبول CATAFLAM 75 MG/3 ML 6 AMP.,75MG,
330,POWERECTA 20 MG 4 TAB,باوريكتا 20 مجم 4 قرص,58.0,powerecta 20 mg 4 tablet,باوريكتا 20 mg 4 tablet,باوريكتا 20 مجم 4 قرص POWERECTA 20 MG 4 TAB,20MG,
334,GABIMASH 300 MG 30 TAB,جابيماش 300 مجم 30 قرص,85.5,gabimash 300 mg 30 tablet,جابيماش 300 mg 30 tablet,جابيماش 300 مجم 30 قرص GABIMASH 300 MG 30 TAB,300MG,
338,AVIL 45.5 MG/2 ML I.M. 6 AMP.,افيل 45.5 مجم/2مل 6 امبول عضل,39.0,avil 455 mg 2 ml im 6 ampoule,افيل 455 mg 2مل 6 ampoule عضل,افيل 45.5 مجم/2مل 6 امبول عضل AVIL 45.5 MG/2 ML I.M. 6 AMP.,45.5MG,
343,CLOPEX 75 MG 30 TAB,كلوبكس 75 مجم 30 قرص,150.0,clopex 75 mg 30 tablet,كلوبكس 75 mg 30 tablet,كلوبكس 75 مجم 30 قرص CLOPEX 75 MG 30 TAB,75MG,
346,AMARYL M 2 MG/500 30 TAB,اماريل ام 2/500مجم 30 قرص,73.5,amaryl m 2 mg 500 30 tablet,اماريل ام 2500مجم 30 tablet,اماريل ام 2/500مجم 30 قرص AMARYL M 2 MG/500 30 TAB,2MG,
1279,SIMEDILL EMULSION 120 ML,سايميدل شراب مستحلب 120 مل,50.0,simedill emulsion 120 ml,سايميدل syrup مستحلب 120 ml,سايميدل شراب مستحلب 120 مل SIMEDILL EMULSION 120 ML,120ML,
357,DIAMONRECTA 5 MG 30 TAB,ديامونركتا 5 مجم 30 قرص,187.5,diamonrecta 5 mg 30 tablet,ديامونركتا 5 mg 30 tablet,ديامونركتا 5 مجم 30 قرص DIAMONRECTA 5 MG 30 TAB,5MG,
369,DUPHALAC SYRUP 200 ML,دوفالاك شراب 200 مل,87.0,duphalac syrup 200 ml,دوفالاك syrup 200 ml,دوفالاك شراب 200 مل DUPHALAC SYRUP 200 ML,200ML,SYRUP
371,RIVAROSPIRE 20 MG 28 TAB,ريفاروسبير 20 مجم 28 قرص,364.0,rivarospire 20 mg 28 tablet,ريفاروسبير 20 mg 28 tablet,ريفاروسبير 20 مجم 28 قرص RIVAROSPIRE 20 MG 28 TAB,20MG,
1303,NOSTAMINE EYE/NOSE DROP 15 ML,نوستامين قطرة 15 مل,15.0,nostamine eyenose drops 15 ml,نوستامين drops 15 ml,نوستامين قطرة 15 مل NOSTAMINE EYE/NOSE DROP 15 ML,15ML,
1305,LOVIR 400 MG 10 TAB,لوفير 400 مجم 10 قرص,76.0,lovir 400 mg 10 tablet,لوفير 400 mg 10 tablet,لوفير 400 مجم 10 قرص LOVIR 400 MG 10 TAB,400MG,
399,ATOR 40 MG 10 TAB,اتور 40 مجم 10 قرص,80.0,ator 40 mg 10 tablet,اتور 40 mg 10 tablet,اتور 40 مجم 10 قرص ATOR 40 MG 10 TAB,40MG,
1334,GYNOZOL 2%VAGINAL CREAM 40 GM,جينوزول 2 % كريم مهبلي 40 جم,38.0,gynozol 2%vaginal cream 40 gm,جينوزول 2 % cream مهبلي 40 g,جينوزول 2 % كريم مهبلي 40 جم GYNOZOL 2%VAGINAL CREAM 40 GM,2%,CREAM
414,NASACORT AQ 55 MCG NASAL SPRAY 120 DOSE,نازاكورت 55مكجم بخاخ بالأنف 120 جرعة,151.0,nasacort aq 55 mcg nasal spray 120 dose,نازاكورت 55مكجم بخاخ بالأنف 120 جرعة,نازاكورت 55مكجم بخاخ بالأنف 120 جرعة NASACORT AQ 55 MCG NASAL SPRAY 120 DOSE,55MCG,
420,GOLD PLUS VAGINAL DOUCHE 250 ML,جولد بلس غسول مهبلي 250 مل,75.0,gold plus vaginal douche 250 ml,جولد بلس غسول مهبلي 250 ml,جولد بلس غسول مهبلي 250 مل GOLD PLUS VAGINAL DOUCHE 250 ML,250ML,
422,TAVACIN 750 MG 5 TAB,تافاسين 750 مجم 5 قرص,96.0,tavacin 750 mg 5 tablet,تافاسين 750 mg 5 tablet,تافاسين 750 مجم 5 قرص TAVACIN 750 MG 5 TAB,750MG,
427,COLOVATIL 30 TAB,كولوفاتيل 30 قرص,63.0,colovatil 30 tablet,كولوفاتيل 30 tablet,كولوفاتيل 30 قرص COLOVATIL 30 TAB,,
436,COBAL F 30 TAB,كوبال اف 500/200 مكجم 30 قرص,54.0,cobal f 30 tablet,كوبال اف 500200 مكجم 30 tablet,كوبال اف 500/200 مكجم 30 قرص COBAL F 30 TAB,,
449,EXAMIDE 10 MG 30 TAB,اكساميد 10 مجم 30 قرص,88.5,examide 10 mg 30 tablet,اكساميد 10 mg 30 tablet,اكساميد 10 مجم 30 قرص EXAMIDE 10 MG 30 TAB,10MG,
1383,VERSERC 16 MG 30 TAB,فيرسيرك 16 مجم 30 قرص,87.0,verserc 16 mg 30 tablet,فيرسيرك 16 mg 30 tablet,فيرسيرك 16 مجم 30 قرص VERSERC 16 MG 30 TAB,16MG,
454,NATRILIX C. S.R. 1.50 MG 30 TAB,ناتريليكس اس آر 1.5 مجم 30 قرص,55.0,natrilix c sr 150 mg 30 tablet,ناتريليكس اس آر 15 mg 30 tablet,ناتريليكس اس آر 1.5 مجم 30 قرص NATRILIX C. S.R. 1.50 MG 30 TAB,1.50MG,
456,NANAZOXID 500 MG 18 TAB,نانازوكسيد 500 مجم 18 قرص,114.0,nanazoxid 500 mg 18 tablet,نانازوكسيد 500 mg 18 tablet,نانازوكسيد 500 مجم 18 قرص NANAZOXID 500 MG 18 TAB,500MG,
460,EMEREST 4 MG/2 ML 5 AMP.,ايميرست 4 مجم / 2 مل 5 امبول,112.5,emerest 4 mg 2 ml 5 ampoule,ايميرست 4 mg 2 ml 5 ampoule,ايميرست 4 مجم / 2 مل 5 امبول EMEREST 4 MG/2 ML 5 AMP.,4MG,
476,OLAPEX 10 MG 30 TAB,اولابكس 10 مجم 30 قرص,234.0,olapex 10 mg 30 tablet,اولابكس 10 mg 30 tablet,اولابكس 10 مجم 30 قرص OLAPEX 10 MG 30 TAB,10MG,
479,VIBRAMYCIN 100 MG 10 CAP,فيبراميسين 100 مجم 10 كبسولات,42.5,vibramycin 100 mg 10 capsule,فيبراميسين 100 mg 10 capsule,فيبراميسين 100 مجم 10 كبسولات VIBRAMYCIN 100 MG 10 CAP,100MG,
